componente_evento,miembros,nombres,tamano,pares_evaluados,pares_safe,pares_review,pares_conflict,pares_faltantes,clasificacion,id_evento_canonico_propuesto,nombre_canonico_propuesto,razon
EV400011,31;2952,"Singles, Women (Olympic) | Women's Singles",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,31,"Singles, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400012,33;2089;2707,"Singles, Women (Olympic) | Badminton Women's Singles | Women's Singles",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400013,34;2321;3037,"Doubles, Men (Olympic) | Badminton Men's Doubles | Men's Doubles",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400014,37;2693,"Team, Women (Olympic) | Women's Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,37,"Team, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400015,39;2019,"Hockey, Men (Olympic) | Hockey Men's Hockey",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,39,"Hockey, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400016,47;1947;2810,"High Jump, Men (Olympic) | Athletics Men's High Jump | Men's High Jump",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400017,48;1946;2982,"Pole Vault, Men (Olympic) | Athletics Men's Pole Vault | Men's Pole Vault",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400018,49;1967;2979,"Long Jump, Men (Olympic) | Athletics Men's Long Jump | Men's Long Jump",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400019,50;2080;2783,"Triple Jump, Men (Olympic) | Athletics Men's Triple Jump | Men's Triple Jump",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400020,54;2909,"Team, Men (Olympic) | Men's Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,54,"Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400021,68;2967,"Individual, Men (Olympic) | Men's Individual",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,68,"Individual, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400022,70;2162;2713,"Individual, Men (Olympic) | Archery Men's Individual | Men's Individual",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400023,71;2034;2752,"Individual, Women (Olympic) | Archery Women's Individual | Women's Individual",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400024,72;2230;2865,"Team, Women (Olympic) | Archery Women's Team | Women's Team",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400025,73;2714,"Team, Men (Olympic) | Men's Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,73,"Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400026,74;2389,"Target Archery, 28 metres, Team, Men (Olympic) | Archery Men's Target Archery, 28 metres, Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,74,"Target Archery, 28 metres, Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400027,75;2390,"Target Archery, 33 metres, Team, Men (Olympic) | Archery Men's Target Archery, 33 metres, Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,75,"Target Archery, 33 metres, Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400028,76;2391,"Target Archery, 50 metres, Team, Men (Olympic) | Archery Men's Target Archery, 50 metres, Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,76,"Target Archery, 50 metres, Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400029,77;2618,"Pole Archery, Small Birds, Individual, Men (Olympic) | Archery Men's Pole Archery, Small Birds, Individual",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,77,"Pole Archery, Small Birds, Individual, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400030,78;2619,"Pole Archery, Large Birds, Individual, Men (Olympic) | Archery Men's Pole Archery, Large Birds, Individual",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,78,"Pole Archery, Large Birds, Individual, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400031,79;2620,"Pole Archery, Small Birds, Team, Men (Olympic) | Archery Men's Pole Archery, Small Birds, Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,79,"Pole Archery, Small Birds, Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400032,80;2621,"Pole Archery, Large Birds, Team, Men (Olympic) | Archery Men's Pole Archery, Large Birds, Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,80,"Pole Archery, Large Birds, Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400033,87;2663,"Target Archery, 28 metres, Individual, Men (Olympic) | Archery Men's Target Archery, 28 metres, Individual",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,87,"Target Archery, 28 metres, Individual, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400034,88;2595,"Target Archery, 33 metres, Individual, Men (Olympic) | Archery Men's Target Archery, 33 metres, Individual",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,88,"Target Archery, 33 metres, Individual, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400035,89;2596,"Target Archery, 50 metres, Individual, Men (Olympic) | Archery Men's Target Archery, 50 metres, Individual",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,89,"Target Archery, 50 metres, Individual, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400036,96;2041;2700,"Marathon, Men (Olympic) | Athletics Men's Marathon | Men's Marathon",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400037,113;2033,"Softball, Women (Olympic) | Softball Women's Softball",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,113,"Softball, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400038,114;2106,"Baseball, Men (Olympic) | Baseball Men's Baseball",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,114,"Baseball, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400039,116;2753,"Team, Mixed (Olympic) | Mixed Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,116,"Team, Mixed (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400040,150;1900,"Basketball, Men (Olympic) | Basketball Men's Basketball",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,150,"Basketball, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400041,152;1982,"Basketball, Women (Olympic) | Basketball Women's Basketball",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,152,"Basketball, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400042,153;2370;2999,"Triple Jump, Women (Olympic) | Athletics Women's Triple Jump | Women's Triple Jump",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400043,154;1935,"Handball, Women (Olympic) | Handball Women's Handball",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,154,"Handball, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400044,157;2123;2959,"Decathlon, Men (Olympic) | Athletics Men's Decathlon | Men's Decathlon",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400045,198;2021;2739,"Single Sculls, Women (Olympic) | Rowing Women's Single Sculls | Women's Single Sculls",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400046,202;2396,"Polo, Men (Olympic) | Polo Men's Polo",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,202,"Polo, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400047,203;2332,"Rugby, Men (Olympic) | Rugby Men's Rugby",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,203,"Rugby, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400048,211;1903,"Tug-Of-War, Men (Olympic) | Tug-Of-War Men's Tug-Of-War",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,211,"Tug-Of-War, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400049,212;2379,"Lacrosse, Men (Olympic) | Lacrosse Men's Lacrosse",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,212,"Lacrosse, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400050,228;2005;2722,"Sabre, Team, Men (Olympic) | Fencing Men's Sabre, Team | Men's Sabre Team",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400051,241;2052;2721,"Sabre, Individual, Men (Olympic) | Fencing Men's Sabre, Individual | Men's Sabre Individual",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400052,244;2101;2940,"Sprint, Men (Olympic) | Cycling Men's Sprint | Men's Sprint",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400053,252;2961,"Cross-Country, Women (Olympic) | Women's Cross-country",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,252,"Cross-Country, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400054,255;2473;2666,"Individual Time Trial, Women (Olympic) | Cycling Women's Individual Time Trial | Women's Individual Time Trial",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400055,259;1998;2893,"Sprint, Women (Olympic) | Cycling Women's Sprint | Women's Sprint",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400056,266;2538;2894,"Keirin, Women (Olympic) | Cycling Women's Keirin | Women's Keirin",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400057,267;2603;3080,"Team Sprint, Women (Olympic) | Cycling Women's Team Sprint | Women's Team Sprint",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400058,272;2330;3090,"Madison, Men (Olympic) | Cycling Men's Madison | Men's Madison",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400059,279;2336;2851,"Individual Time Trial, Men (Olympic) | Cycling Men's Individual Time Trial | Men's Individual Time Trial",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400060,285;2938,"Cross-Country, Men (Olympic) | Men's Cross-country",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,285,"Cross-Country, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400061,288;2485;3102,"Team Sprint, Men (Olympic) | Cycling Men's Team Sprint | Men's Team Sprint",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400062,299;2484;2941,"Keirin, Men (Olympic) | Cycling Men's Keirin | Men's Keirin",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400063,301;2477;2996,"Omnium, Men (Olympic) | Cycling Men's Omnium | Men's Omnium",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400064,303;1902,"Football, Men (Olympic) | Football Men's Football",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,303,"Football, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400065,338;1944,"Hockey, Women (Olympic) | Hockey Women's Hockey",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,338,"Hockey, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400066,344;2449,"Cricket, Men (Olympic) | Cricket Men's Cricket",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,344,"Cricket, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400067,358;1955;2731,"Foil, Individual, Men (Olympic) | Fencing Men's Foil, Individual | Men's Foil Individual",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400068,383;1928;2736,"Shot Put, Men (Olympic) | Athletics Men's Shot Put | Men's Shot Put",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400069,393;2097;2951,"Discus Throw, Men (Olympic) | Athletics Men's Discus Throw | Men's Discus Throw",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400070,395;2016;2869,"Hammer Throw, Men (Olympic) | Athletics Men's Hammer Throw | Men's Hammer Throw",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400071,398;2062;2696,"Javelin Throw, Men (Olympic) | Athletics Men's Javelin Throw | Men's Javelin Throw",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400072,406;2242;2945,"Foil, Individual, Women (Olympic) | Fencing Women's Foil, Individual | Women's Foil Individual",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400073,407;2212;2946,"Foil, Team, Women (Olympic) | Fencing Women's Foil, Team | Women's Foil Team",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400074,408;2083;2706,"Épée, Individual, Women (Olympic) | Fencing Women's epee, Individual | Women's Épée Individual",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400075,409;2432;2968,"Épée, Team, Women (Olympic) | Fencing Women's epee, Team | Women's Épée Team",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400076,410;2004;2732,"Foil, Team, Men (Olympic) | Fencing Men's Foil, Team | Men's Foil Team",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400077,411;1957;2956,"Épée, Team, Men (Olympic) | Fencing Men's epee, Team | Men's Épée Team",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400078,413;782,"500 metres Freestyle, Men (Olympic) | 1,500 metres Freestyle, Men (Olympic)",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,782,"1,500 metres Freestyle, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400079,425;1913,"Ice Hockey, Men (Olympic) | Ice Hockey Men's Ice Hockey",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,425,"Ice Hockey, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400080,428;2505,"Épée, Masters and Amateurs, Individual, Men (Olympic) | Fencing Men's epee, Masters and Amateurs, Individual",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,428,"Épée, Masters and Amateurs, Individual, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400081,432;2420,"Small-Bore Rifle, 50 and 100 yards, Team, Men (Olympic) | Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,432,"Small-Bore Rifle, 50 and 100 yards, Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400082,468;1954,"Football, Women (Olympic) | Football Women's Football",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,468,"Football, Women (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400083,480;2114;2705,"Floor Exercise, Women (Olympic) | Gymnastics Women's Floor Exercise | Women's Floor Exercise",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400084,482;2116;2703,"Uneven Bars, Women (Olympic) | Gymnastics Women's Uneven Bars | Women's Uneven Bars",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400085,483;2117;2704,"Balance Beam, Women (Olympic) | Gymnastics Women's Balance Beam | Women's Balance Beam",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400086,490;1922;2668,"Floor Exercise, Men (Olympic) | Gymnastics Men's Floor Exercise | Men's Floor Exercise",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400087,492;1924;2672,"Parallel Bars, Men (Olympic) | Gymnastics Men's Parallel Bars | Men's Parallel Bars",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400088,493;1925;2673,"Horizontal Bar, Men (Olympic) | Gymnastics Men's Horizontal Bar | Men's Horizontal Bar",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400089,494;2670,"Rings, Men (Olympic) | Men's Rings",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,494,"Rings, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400090,496;2139;2971,"Pole Vault, Women (Olympic) | Athletics Women's Pole Vault | Women's Pole Vault",3,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,No todos los pares internos tienen SAFE_EVENT_ALIAS explícito; se rechaza la transitividad no demostrada.
EV400091,503;933,"Rope Climbing, Men (Olympic) | Rope Climbing, Men ()",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,503,"Rope Climbing, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400092,509;2224,"Free Rifle, Three Positions, 300 metres, Men (Olympic) | Shooting Men's Free Rifle, Three Positions, 300 metres",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,509,"Free Rifle, Three Positions, 300 metres, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400093,510;2271,"Free Rifle, Three Positions, 300 metres, Team, Men (Olympic) | Shooting Men's Free Rifle, Three Positions, 300 metres, Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,510,"Free Rifle, Three Positions, 300 metres, Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400094,511;2272,"Military Rifle, Prone, 300 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, Prone, 300 metres, Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,511,"Military Rifle, Prone, 300 metres, Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
EV400095,513;2273,"Military Rifle, Prone, 600 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, Prone, 600 metres, Team",2,1,1,0,0,0,SAFE_EVENT_COMPONENT,513,"Military Rifle, Prone, 600 metres, Team, Men (Olympic)","Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia semántica, mejor fuente/cobertura y desempate determinista por ID."
