id_evento_a,nombre_a,id_evento_b,nombre_b,deporte,disciplina,genero_a,genero_b,similitud,regla_detectada,auto_merge_candidate,razon,fuentes_a,fuentes_b,coexistencia_misma_fuente,tokens_extra_a,tokens_extra_b,perdida_multiplicidad,clasificacion_final,razon_refinada,semantic_key_a,semantic_key_b,distancia_a,distancia_b,peso_a,peso_b,modalidad_a,modalidad_b,clasificacion_phase5,razon_phase5
2953,Men's Synchronised 10m Platform Team,3013,Men's Synchronised 10m Platform,Aquatics,Diving,MEN,MEN,0.925373,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,,team,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [""team""], [""10:m""], [], [], [""platform"", ""synchronised""]]","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [], [""10:m""], [], [], [""platform"", ""synchronised""]]",10:m,10:m,,,team,,REVIEW_EVENT_ALIAS,"Difieren distancia, secuencia numérica, peso, modalidad, edad, medalla o modificadores; no se autoriza por similitud textual."
2991,Men's Synchronised 3m Springboard Team,3015,Men's Synchronised 3m Springboard,Aquatics,Diving,MEN,MEN,0.929577,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,,team,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [""team""], [""3:m""], [], [], [""springboard"", ""synchronised""]]","[""aquatics"", ""diving"", ""men"", ""adult"", ""medal"", [], [""3:m""], [], [], [""springboard"", ""synchronised""]]",3:m,3:m,,,team,,REVIEW_EVENT_ALIAS,"Difieren distancia, secuencia numérica, peso, modalidad, edad, medalla o modificadores; no se autoriza por similitud textual."
214,"Springboard, Women (Olympic)",809,"Synchronized Springboard, Women (Olympic)",Aquatics,Diving,WOMEN,WOMEN,0.793651,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [], [], [], [], [""springboard""]]","[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [], [], [], [], [""springboard"", ""synchronized""]]",,,,,,,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
469,"Platform, Women (Olympic)",470,"Synchronized Platform, Women (Olympic)",Aquatics,Diving,WOMEN,WOMEN,0.77193,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [], [], [], [], [""platform""]]","[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [], [], [], [], [""platform"", ""synchronized""]]",,,,,,,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
807,"100 metres Freestyle, Women (Olympic)",890,"4 × 100 metres Freestyle Relay, Women (Olympic)",Aquatics,Diving,WOMEN,WOMEN,0.871795,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1912', 'Summer'), ('1920', 'Summer'), ('1924', 'Summer'), ('1928', 'Summer'), ('1932', 'Summer'), ('1936', 'Summer'), ('1948', 'Summer'), ('1952', 'Summer'), ('1956', 'Summer'), ('1960', 'Summer'), ('1964', 'Summer'), ('1968', 'Summer'), ('1972', 'Summer'), ('1976', 'Summer'), ('1980', 'Summer'), ('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,4 relay x,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [""freestyle""], [""100:m""], [], [], []]","[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [""freestyle"", ""relay""], [""100:m""], [], [], [""4"", ""x""]]",100:m,100:m,,,freestyle,freestyle | relay,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
2045,Diving Women's Platform,2369,Diving Women's Synchronized Platform,Aquatics,Diving,WOMEN,WOMEN,0.779661,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente2 | fuente3,"fuente2:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')] | fuente3:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [], [], [], [], [""platform""]]","[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [], [], [], [], [""platform"", ""synchronized""]]",,,,,,,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
2118,Diving Women's Springboard,2119,Diving Women's Synchronized Springboard,Aquatics,Diving,WOMEN,WOMEN,0.8,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente2 | fuente3,"fuente2:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')] | fuente3:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [], [], [], [], [""springboard""]]","[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [], [], [], [], [""springboard"", ""synchronized""]]",,,,,,,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
2723,Women's 3m Springboard,3104,Women's Synchronised 3m Springboard,Aquatics,Diving,WOMEN,WOMEN,0.77193,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,"fuente3:[('2024', 'Summer')]",,synchronised,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [], [""3:m""], [], [], [""springboard""]]","[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [], [""3:m""], [], [], [""springboard"", ""synchronised""]]",3:m,3:m,,,,,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
2724,Women's Synchronised 3m Springboard Team,3104,Women's Synchronised 3m Springboard,Aquatics,Diving,WOMEN,WOMEN,0.933333,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,,team,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [""team""], [""3:m""], [], [], [""springboard"", ""synchronised""]]","[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [], [""3:m""], [], [], [""springboard"", ""synchronised""]]",3:m,3:m,,,team,,REVIEW_EVENT_ALIAS,"Difieren distancia, secuencia numérica, peso, modalidad, edad, medalla o modificadores; no se autoriza por similitud textual."
2788,Women's 10m Platform,3014,Women's Synchronised 10m Platform,Aquatics,Diving,WOMEN,WOMEN,0.754717,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,"fuente3:[('2024', 'Summer')]",,synchronised,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [], [""10:m""], [], [], [""platform""]]","[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [], [""10:m""], [], [], [""platform"", ""synchronised""]]",10:m,10:m,,,,,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
2789,Women's Synchronised 10m Platform Team,3014,Women's Synchronised 10m Platform,Aquatics,Diving,WOMEN,WOMEN,0.929577,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,,team,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [""team""], [""10:m""], [], [], [""platform"", ""synchronised""]]","[""aquatics"", ""diving"", ""women"", ""adult"", ""medal"", [], [""10:m""], [], [], [""platform"", ""synchronised""]]",10:m,10:m,,,team,,REVIEW_EVENT_ALIAS,"Difieren distancia, secuencia numérica, peso, modalidad, edad, medalla o modificadores; no se autoriza por similitud textual."
412,"100 metres Freestyle, Men (Olympic)",694,"100 metres Freestyle, Men (Intercalated)",Aquatics,Swimming,MEN,MEN,0.753623,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,,,intercalated,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle""], [""100:m""], [], [], []]","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle""], [""100:m""], [], [], [""intercalated""]]",100:m,100:m,,,freestyle,freestyle,REVIEW_EVENT_ALIAS,"Difieren distancia, secuencia numérica, peso, modalidad, edad, medalla o modificadores; no se autoriza por similitud textual."
412,"100 metres Freestyle, Men (Olympic)",810,"4 × 100 metres Freestyle Relay, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.864865,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1964', 'Summer'), ('1968', 'Summer'), ('1972', 'Summer'), ('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,4 relay x,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle""], [""100:m""], [], [], []]","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle"", ""relay""], [""100:m""], [], [], [""4"", ""x""]]",100:m,100:m,,,freestyle,freestyle | relay,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
412,"100 metres Freestyle, Men (Olympic)",881,"100 metres Freestyle For Sailors, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.842105,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1896', 'Summer')]",,for sailors,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle""], [""100:m""], [], [], []]","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle""], [""100:m""], [], [], [""for"", ""sailors""]]",100:m,100:m,,,freestyle,freestyle,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
413,"500 metres Freestyle, Men (Olympic)",782,"1,500 metres Freestyle, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.969697,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,,,1,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle""], [""500:m""], [], [], []]","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle""], [""1500:m""], [], [], []]",500:m,1500:m,,,freestyle,freestyle,REVIEW_EVENT_ALIAS,"Difieren distancia, secuencia numérica, peso, modalidad, edad, medalla o modificadores; no se autoriza por similitud textual."
418,"400 metres Freestyle, Men (Olympic)",695,"400 metres Freestyle, Men (Intercalated)",Aquatics,Swimming,MEN,MEN,0.753623,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,,,intercalated,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle""], [""400:m""], [], [], []]","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle""], [""400:m""], [], [], [""intercalated""]]",400:m,400:m,,,freestyle,freestyle,REVIEW_EVENT_ALIAS,"Difieren distancia, secuencia numérica, peso, modalidad, edad, medalla o modificadores; no se autoriza por similitud textual."
696,"1 mile Freestyle, Men (Intercalated)",830,"1 mile Freestyle, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.754098,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,,intercalated,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle""], [""1:mile""], [], [], [""intercalated""]]","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle""], [""1:mile""], [], [], []]",1:mile,1:mile,,,freestyle,freestyle,REVIEW_EVENT_ALIAS,"Difieren distancia, secuencia numérica, peso, modalidad, edad, medalla o modificadores; no se autoriza por similitud textual."
779,"200 metres Freestyle, Men (Olympic)",781,"4 × 200 metres Freestyle Relay, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.864865,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1968', 'Summer'), ('1972', 'Summer'), ('1976', 'Summer'), ('1980', 'Summer'), ('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,4 relay x,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle""], [""200:m""], [], [], []]","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle"", ""relay""], [""200:m""], [], [], [""4"", ""x""]]",200:m,200:m,,,freestyle,freestyle | relay,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
779,"200 metres Freestyle, Men (Olympic)",824,"1,200 metres Freestyle, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.969697,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,,,1,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle""], [""200:m""], [], [], []]","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle""], [""1200:m""], [], [], []]",200:m,1200:m,,,freestyle,freestyle,REVIEW_EVENT_ALIAS,"Difieren distancia, secuencia numérica, peso, modalidad, edad, medalla o modificadores; no se autoriza por similitud textual."
843,"Underwater Swimming, Men (Olympic)",2434,Swimming Men's Underwater Swimming,Aquatics,Swimming,MEN,MEN,0.584615,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente.",fuente1,fuente2 | fuente3,,,swimming,YES,REVIEW_ALIAS,La firma por conjunto oculta multiplicidad de tokens; requiere revisión antes de fusionar.,"[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [], [], [], [], [""underwater""]]","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [], [], [], [], [""swimming"", ""underwater""]]",,,,,,,REVIEW_EVENT_ALIAS,"Difieren distancia, secuencia numérica, peso, modalidad, edad, medalla o modificadores; no se autoriza por similitud textual."
861,"200 metres Team Swimming, Men (Olympic)",2552,Swimming Men's 200 metres Team Swimming,Aquatics,Swimming,MEN,MEN,0.64,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente.",fuente1,fuente2 | fuente3,,,swimming,YES,REVIEW_ALIAS,La firma por conjunto oculta multiplicidad de tokens; requiere revisión antes de fusionar.,"[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""team""], [""200:m""], [], [], []]","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""team""], [""200:m""], [], [], [""swimming""]]",200:m,200:m,,,team,team,REVIEW_EVENT_ALIAS,"Difieren distancia, secuencia numérica, peso, modalidad, edad, medalla o modificadores; no se autoriza por similitud textual."
865,"50 yards Freestyle, Men (Olympic)",866,"4 × 50 yards Freestyle Relay, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.857143,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1904', 'Summer')]",,4 relay x,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle""], [""50:yd""], [], [], []]","[""aquatics"", ""swimming"", ""men"", ""adult"", ""medal"", [""freestyle"", ""relay""], [""50:yd""], [], [], [""4"", ""x""]]",50:yd,50:yd,,,freestyle,freestyle | relay,CONFLICT_EVENT_ALIAS,Coexistencia en misma fuente/edición.
